i_episode: 0,	 reward_accu: -1, 	 action_length: 27,	 running times: 14
i_episode: 1,	 reward_accu: 0, 	 action_length: 11,	 running times: 6
i_episode: 2,	 reward_accu: -1, 	 action_length: 23,	 running times: 12
i_episode: 3,	 reward_accu: -1, 	 action_length: 27,	 running times: 14
i_episode: 4,	 reward_accu: 0, 	 action_length: 10,	 running times: 6
i_episode: 5,	 reward_accu: -1, 	 action_length: 9,	 running times: 5
i_episode: 6,	 reward_accu: 0, 	 action_length: 20,	 running times: 11
i_episode: 7,	 reward_accu: 0, 	 action_length: 93,	 running times: 47
i_episode: 8,	 reward_accu: 0, 	 action_length: 9,	 running times: 5
i_episode: 9,	 reward_accu: 1, 	 action_length: 14,	 running times: 8
i_episode: 10,	 reward_accu: -1, 	 action_length: 52,	 running times: 27
i_episode: 11,	 reward_accu: -1, 	 action_length: 38,	 running times: 20
i_episode: 12,	 reward_accu: 0, 	 action_length: 22,	 running times: 12
i_episode: 13,	 reward_accu: -1, 	 action_length: 62,	 running times: 32
i_episode: 14,	 reward_accu: 1, 	 action_length: 67,	 running times: 34
i_episode: 15,	 reward_accu: 0, 	 action_length: 14,	 running times: 8
i_episode: 16,	 reward_accu: -1, 	 action_length: 11,	 running times: 6
i_episode: 17,	 reward_accu: 0, 	 action_length: 16,	 running times: 9
i_episode: 18,	 reward_accu: -1, 	 action_length: 16,	 running times: 9
i_episode: 19,	 reward_accu: 0, 	 action_length: 55,	 running times: 28
i_episode: 20,	 reward_accu: 0, 	 action_length: 9,	 running times: 5
i_episode: 21,	 reward_accu: 0, 	 action_length: 41,	 running times: 21
i_episode: 22,	 reward_accu: 1, 	 action_length: 25,	 running times: 13
i_episode: 23,	 reward_accu: 1, 	 action_length: 77,	 running times: 39
i_episode: 24,	 reward_accu: 3, 	 action_length: 238,	 running times: 120
i_episode: 25,	 reward_accu: 0, 	 action_length: 18,	 running times: 10
i_episode: 26,	 reward_accu: 0, 	 action_length: 10,	 running times: 6
i_episode: 27,	 reward_accu: 3, 	 action_length: 46,	 running times: 24
i_episode: 28,	 reward_accu: -1, 	 action_length: 8,	 running times: 5
i_episode: 29,	 reward_accu: 0, 	 action_length: 4,	 running times: 3
i_episode: 30,	 reward_accu: 1, 	 action_length: 38,	 running times: 20
i_episode: 31,	 reward_accu: 3, 	 action_length: 262,	 running times: 132
i_episode: 32,	 reward_accu: 3, 	 action_length: 77,	 running times: 39
i_episode: 33,	 reward_accu: 3, 	 action_length: 91,	 running times: 46
i_episode: 34,	 reward_accu: 2, 	 action_length: 32,	 running times: 17
i_episode: 35,	 reward_accu: 3, 	 action_length: 56,	 running times: 29
i_episode: 36,	 reward_accu: 3, 	 action_length: 76,	 running times: 39
i_episode: 37,	 reward_accu: 0, 	 action_length: 7,	 running times: 4
i_episode: 38,	 reward_accu: 24, 	 action_length: 718,	 running times: 360
i_episode: 39,	 reward_accu: 15, 	 action_length: 245,	 running times: 123
i_episode: 40,	 reward_accu: 23, 	 action_length: 179,	 running times: 90
i_episode: 41,	 reward_accu: 8, 	 action_length: 91,	 running times: 46
i_episode: 42,	 reward_accu: 18, 	 action_length: 216,	 running times: 109
i_episode: 43,	 reward_accu: 16, 	 action_length: 154,	 running times: 78
i_episode: 44,	 reward_accu: 47, 	 action_length: 536,	 running times: 269
i_episode: 45,	 reward_accu: 3, 	 action_length: 36,	 running times: 19
i_episode: 46,	 reward_accu: 11, 	 action_length: 102,	 running times: 52
i_episode: 47,	 reward_accu: 19, 	 action_length: 160,	 running times: 81
i_episode: 48,	 reward_accu: 5, 	 action_length: 44,	 running times: 23
i_episode: 49,	 reward_accu: 14, 	 action_length: 134,	 running times: 68
i_episode: 50,	 reward_accu: 2, 	 action_length: 22,	 running times: 12
i_episode: 51,	 reward_accu: 10, 	 action_length: 98,	 running times: 50
i_episode: 52,	 reward_accu: 72, 	 action_length: 586,	 running times: 298
i_episode: 53,	 reward_accu: 20, 	 action_length: 182,	 running times: 92
i_episode: 54,	 reward_accu: 8, 	 action_length: 80,	 running times: 41
i_episode: 55,	 reward_accu: 60, 	 action_length: 472,	 running times: 237
i_episode: 56,	 reward_accu: 58, 	 action_length: 431,	 running times: 216
i_episode: 57,	 reward_accu: 72, 	 action_length: 604,	 running times: 305
i_episode: 58,	 reward_accu: 34, 	 action_length: 296,	 running times: 149
i_episode: 59,	 reward_accu: 72, 	 action_length: 580,	 running times: 302
i_episode: 60,	 reward_accu: 19, 	 action_length: 160,	 running times: 81
i_episode: 61,	 reward_accu: 29, 	 action_length: 236,	 running times: 119
i_episode: 62,	 reward_accu: 72, 	 action_length: 548,	 running times: 275
i_episode: 63,	 reward_accu: 17, 	 action_length: 174,	 running times: 88
i_episode: 64,	 reward_accu: 24, 	 action_length: 214,	 running times: 108
i_episode: 65,	 reward_accu: 38, 	 action_length: 334,	 running times: 168
i_episode: 66,	 reward_accu: 72, 	 action_length: 570,	 running times: 287
i_episode: 67,	 reward_accu: 72, 	 action_length: 518,	 running times: 266
i_episode: 68,	 reward_accu: 72, 	 action_length: 571,	 running times: 288
i_episode: 69,	 reward_accu: 31, 	 action_length: 251,	 running times: 126
i_episode: 70,	 reward_accu: 10, 	 action_length: 94,	 running times: 48
i_episode: 71,	 reward_accu: 72, 	 action_length: 543,	 running times: 280
i_episode: 72,	 reward_accu: 72, 	 action_length: 557,	 running times: 283
i_episode: 73,	 reward_accu: 17, 	 action_length: 184,	 running times: 93
i_episode: 74,	 reward_accu: 33, 	 action_length: 282,	 running times: 142
i_episode: 75,	 reward_accu: 19, 	 action_length: 160,	 running times: 81
i_episode: 76,	 reward_accu: 27, 	 action_length: 218,	 running times: 110
i_episode: 77,	 reward_accu: 46, 	 action_length: 432,	 running times: 217
i_episode: 78,	 reward_accu: 72, 	 action_length: 546,	 running times: 279
i_episode: 79,	 reward_accu: 72, 	 action_length: 515,	 running times: 263
i_episode: 80,	 reward_accu: 72, 	 action_length: 513,	 running times: 270
i_episode: 81,	 reward_accu: 72, 	 action_length: 518,	 running times: 263
i_episode: 82,	 reward_accu: 72, 	 action_length: 602,	 running times: 304
i_episode: 83,	 reward_accu: 72, 	 action_length: 549,	 running times: 276
i_episode: 84,	 reward_accu: 44, 	 action_length: 286,	 running times: 144
i_episode: 85,	 reward_accu: 72, 	 action_length: 494,	 running times: 250
i_episode: 86,	 reward_accu: 50, 	 action_length: 403,	 running times: 202
i_episode: 87,	 reward_accu: 72, 	 action_length: 549,	 running times: 287
i_episode: 88,	 reward_accu: 72, 	 action_length: 523,	 running times: 262
i_episode: 89,	 reward_accu: 72, 	 action_length: 537,	 running times: 279
i_episode: 90,	 reward_accu: 28, 	 action_length: 234,	 running times: 118
i_episode: 91,	 reward_accu: 20, 	 action_length: 173,	 running times: 87
i_episode: 92,	 reward_accu: 72, 	 action_length: 550,	 running times: 280
i_episode: 93,	 reward_accu: 72, 	 action_length: 548,	 running times: 279
i_episode: 94,	 reward_accu: 11, 	 action_length: 90,	 running times: 46
i_episode: 95,	 reward_accu: 17, 	 action_length: 118,	 running times: 60
i_episode: 96,	 reward_accu: 72, 	 action_length: 537,	 running times: 282
i_episode: 97,	 reward_accu: 72, 	 action_length: 485,	 running times: 245
i_episode: 98,	 reward_accu: 72, 	 action_length: 611,	 running times: 308
i_episode: 99,	 reward_accu: 72, 	 action_length: 531,	 running times: 271
i_episode: 100,	 reward_accu: 72, 	 action_length: 572,	 running times: 292
i_episode: 101,	 reward_accu: 72, 	 action_length: 552,	 running times: 281
i_episode: 102,	 reward_accu: 72, 	 action_length: 511,	 running times: 259
i_episode: 103,	 reward_accu: 72, 	 action_length: 520,	 running times: 268
i_episode: 104,	 reward_accu: 72, 	 action_length: 508,	 running times: 266
i_episode: 105,	 reward_accu: 72, 	 action_length: 524,	 running times: 263
i_episode: 106,	 reward_accu: 72, 	 action_length: 511,	 running times: 266
i_episode: 107,	 reward_accu: 72, 	 action_length: 545,	 running times: 285
i_episode: 108,	 reward_accu: 72, 	 action_length: 550,	 running times: 277
i_episode: 109,	 reward_accu: 23, 	 action_length: 192,	 running times: 97
i_episode: 110,	 reward_accu: 72, 	 action_length: 537,	 running times: 274
i_episode: 111,	 reward_accu: 72, 	 action_length: 523,	 running times: 271
i_episode: 112,	 reward_accu: 24, 	 action_length: 188,	 running times: 95
i_episode: 113,	 reward_accu: 72, 	 action_length: 527,	 running times: 267
