i_episode: 63,	 reward_accu: 144, 	 action_length: 1495,	 running times: 1495
i_episode: 64,	 reward_accu: 144, 	 action_length: 1486,	 running times: 1486
i_episode: 65,	 reward_accu: 144, 	 action_length: 1511,	 running times: 1511
i_episode: 66,	 reward_accu: 144, 	 action_length: 1383,	 running times: 1383
i_episode: 67,	 reward_accu: 144, 	 action_length: 1489,	 running times: 1489
i_episode: 68,	 reward_accu: 144, 	 action_length: 1467,	 running times: 1467
i_episode: 69,	 reward_accu: 144, 	 action_length: 1508,	 running times: 1508
i_episode: 70,	 reward_accu: 144, 	 action_length: 1440,	 running times: 1440
i_episode: 71,	 reward_accu: 144, 	 action_length: 1399,	 running times: 1399
i_episode: 72,	 reward_accu: 144, 	 action_length: 1489,	 running times: 1489
i_episode: 73,	 reward_accu: 144, 	 action_length: 1541,	 running times: 1541
i_episode: 74,	 reward_accu: 144, 	 action_length: 1477,	 running times: 1477
i_episode: 75,	 reward_accu: 144, 	 action_length: 1358,	 running times: 1358
i_episode: 76,	 reward_accu: 144, 	 action_length: 1403,	 running times: 1403
i_episode: 77,	 reward_accu: 144, 	 action_length: 1485,	 running times: 1485
i_episode: 78,	 reward_accu: 144, 	 action_length: 1421,	 running times: 1421
i_episode: 79,	 reward_accu: 144, 	 action_length: 1382,	 running times: 1382
i_episode: 80,	 reward_accu: 144, 	 action_length: 1550,	 running times: 1550
i_episode: 81,	 reward_accu: 144, 	 action_length: 1477,	 running times: 1477
i_episode: 82,	 reward_accu: 144, 	 action_length: 1426,	 running times: 1426
i_episode: 83,	 reward_accu: 48, 	 action_length: 515,	 running times: 515
i_episode: 84,	 reward_accu: 144, 	 action_length: 1493,	 running times: 1493
i_episode: 85,	 reward_accu: 144, 	 action_length: 1553,	 running times: 1553
i_episode: 86,	 reward_accu: 144, 	 action_length: 1450,	 running times: 1450
i_episode: 87,	 reward_accu: 144, 	 action_length: 1421,	 running times: 1421
i_episode: 88,	 reward_accu: 144, 	 action_length: 1529,	 running times: 1529
i_episode: 89,	 reward_accu: 144, 	 action_length: 1508,	 running times: 1508
i_episode: 90,	 reward_accu: 144, 	 action_length: 1481,	 running times: 1481
i_episode: 91,	 reward_accu: 144, 	 action_length: 1481,	 running times: 1481
i_episode: 92,	 reward_accu: 144, 	 action_length: 1453,	 running times: 1453
i_episode: 93,	 reward_accu: 144, 	 action_length: 1423,	 running times: 1423
i_episode: 94,	 reward_accu: 144, 	 action_length: 1513,	 running times: 1513
i_episode: 95,	 reward_accu: 42, 	 action_length: 432,	 running times: 432
i_episode: 96,	 reward_accu: 144, 	 action_length: 1437,	 running times: 1437
i_episode: 97,	 reward_accu: 78, 	 action_length: 921,	 running times: 921
i_episode: 98,	 reward_accu: 144, 	 action_length: 1987,	 running times: 1987
i_episode: 99,	 reward_accu: 144, 	 action_length: 1853,	 running times: 1853
i_episode: 100,	 reward_accu: 144, 	 action_length: 1825,	 running times: 1825
[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 4, 35, 7, 1, 9, 16, 7, 25, 18, 45, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 48, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 42, 144, 78, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 66, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 120, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144]
i_episode: 101,	 reward_accu: 144, 	 action_length: 2395,	 running times: 2395
i_episode: 102,	 reward_accu: 144, 	 action_length: 2161,	 running times: 2161
