i_episode: 113,	 reward_accu: 48, 	 action_length: 444,	 running times: 162
i_episode: 114,	 reward_accu: 4, 	 action_length: 56,	 running times: 20
i_episode: 115,	 reward_accu: 24, 	 action_length: 259,	 running times: 88
i_episode: 116,	 reward_accu: 2, 	 action_length: 52,	 running times: 19
i_episode: 117,	 reward_accu: 4, 	 action_length: 69,	 running times: 24
i_episode: 118,	 reward_accu: 3, 	 action_length: 41,	 running times: 15
i_episode: 119,	 reward_accu: 48, 	 action_length: 430,	 running times: 153
i_episode: 120,	 reward_accu: 3, 	 action_length: 46,	 running times: 17
i_episode: 121,	 reward_accu: 48, 	 action_length: 388,	 running times: 134
i_episode: 122,	 reward_accu: 48, 	 action_length: 432,	 running times: 150
i_episode: 123,	 reward_accu: 48, 	 action_length: 396,	 running times: 143
i_episode: 124,	 reward_accu: 6, 	 action_length: 93,	 running times: 32
i_episode: 125,	 reward_accu: 48, 	 action_length: 434,	 running times: 152
i_episode: 126,	 reward_accu: 37, 	 action_length: 308,	 running times: 104
i_episode: 127,	 reward_accu: 13, 	 action_length: 163,	 running times: 56
i_episode: 128,	 reward_accu: 12, 	 action_length: 165,	 running times: 56
i_episode: 129,	 reward_accu: 12, 	 action_length: 121,	 running times: 42
i_episode: 130,	 reward_accu: 25, 	 action_length: 244,	 running times: 83
i_episode: 131,	 reward_accu: 48, 	 action_length: 418,	 running times: 158
i_episode: 132,	 reward_accu: 48, 	 action_length: 436,	 running times: 156
i_episode: 133,	 reward_accu: 5, 	 action_length: 89,	 running times: 31
i_episode: 134,	 reward_accu: 48, 	 action_length: 436,	 running times: 151
i_episode: 135,	 reward_accu: 48, 	 action_length: 440,	 running times: 152
i_episode: 136,	 reward_accu: 3, 	 action_length: 45,	 running times: 16
i_episode: 137,	 reward_accu: 48, 	 action_length: 376,	 running times: 146
i_episode: 138,	 reward_accu: 48, 	 action_length: 408,	 running times: 141
i_episode: 139,	 reward_accu: 4, 	 action_length: 56,	 running times: 20
i_episode: 140,	 reward_accu: 48, 	 action_length: 450,	 running times: 160
i_episode: 141,	 reward_accu: 48, 	 action_length: 436,	 running times: 156
i_episode: 142,	 reward_accu: 11, 	 action_length: 101,	 running times: 35
i_episode: 143,	 reward_accu: 48, 	 action_length: 418,	 running times: 152
i_episode: 144,	 reward_accu: 48, 	 action_length: 446,	 running times: 156
i_episode: 145,	 reward_accu: 48, 	 action_length: 504,	 running times: 235
i_episode: 146,	 reward_accu: 5, 	 action_length: 60,	 running times: 21
i_episode: 147,	 reward_accu: 48, 	 action_length: 440,	 running times: 150
i_episode: 148,	 reward_accu: 48, 	 action_length: 396,	 running times: 146
i_episode: 149,	 reward_accu: 48, 	 action_length: 456,	 running times: 154
i_episode: 150,	 reward_accu: 48, 	 action_length: 438,	 running times: 152
i_episode: 151,	 reward_accu: 9, 	 action_length: 112,	 running times: 39
i_episode: 152,	 reward_accu: 48, 	 action_length: 422,	 running times: 147
i_episode: 153,	 reward_accu: 48, 	 action_length: 418,	 running times: 144
i_episode: 154,	 reward_accu: 48, 	 action_length: 426,	 running times: 150
i_episode: 155,	 reward_accu: 48, 	 action_length: 454,	 running times: 200
i_episode: 156,	 reward_accu: 1, 	 action_length: 26,	 running times: 10
i_episode: 157,	 reward_accu: 48, 	 action_length: 444,	 running times: 159
i_episode: 158,	 reward_accu: 48, 	 action_length: 400,	 running times: 144
i_episode: 159,	 reward_accu: 0, 	 action_length: 13,	 running times: 6
i_episode: 160,	 reward_accu: 48, 	 action_length: 424,	 running times: 162
i_episode: 161,	 reward_accu: 48, 	 action_length: 372,	 running times: 129
i_episode: 162,	 reward_accu: 2, 	 action_length: 54,	 running times: 19
i_episode: 163,	 reward_accu: 37, 	 action_length: 289,	 running times: 98
i_episode: 164,	 reward_accu: 48, 	 action_length: 376,	 running times: 130
i_episode: 165,	 reward_accu: 48, 	 action_length: 408,	 running times: 150
i_episode: 166,	 reward_accu: 19, 	 action_length: 157,	 running times: 54
i_episode: 167,	 reward_accu: 48, 	 action_length: 382,	 running times: 140
i_episode: 168,	 reward_accu: 48, 	 action_length: 412,	 running times: 160
i_episode: 169,	 reward_accu: -1, 	 action_length: 20,	 running times: 8
