i_episode: 0,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 1,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 2,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 3,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 4,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 5,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 6,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 7,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 8,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 9,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 10,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 11,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 12,	 reward_accu: -1, 	 action_length: 5,	 running times: 5
i_episode: 13,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 14,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 15,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 16,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 17,	 reward_accu: -1, 	 action_length: 6,	 running times: 6
i_episode: 18,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 19,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 20,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 21,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 22,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 23,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 24,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 25,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 26,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 27,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 28,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 29,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 30,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 31,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 32,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 33,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 34,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 35,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 36,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 37,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 38,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 39,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 40,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 41,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 42,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 43,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 44,	 reward_accu: -1, 	 action_length: 5,	 running times: 5
i_episode: 45,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 46,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 47,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 48,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 49,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 50,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 51,	 reward_accu: -1, 	 action_length: 5,	 running times: 5
i_episode: 52,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 53,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 54,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 55,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 56,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 57,	 reward_accu: 1, 	 action_length: 16,	 running times: 16
i_episode: 58,	 reward_accu: -1, 	 action_length: 10,	 running times: 10
i_episode: 59,	 reward_accu: -1, 	 action_length: 14,	 running times: 14
i_episode: 60,	 reward_accu: -1, 	 action_length: 19,	 running times: 19
i_episode: 61,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 62,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 63,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 64,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 65,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 66,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 67,	 reward_accu: 0, 	 action_length: 20,	 running times: 20
i_episode: 68,	 reward_accu: -1, 	 action_length: 8,	 running times: 8
i_episode: 69,	 reward_accu: 1, 	 action_length: 15,	 running times: 15
i_episode: 70,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 71,	 reward_accu: -1, 	 action_length: 14,	 running times: 14
i_episode: 72,	 reward_accu: 1, 	 action_length: 64,	 running times: 64
i_episode: 73,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 74,	 reward_accu: 0, 	 action_length: 38,	 running times: 38
i_episode: 75,	 reward_accu: 0, 	 action_length: 16,	 running times: 16
i_episode: 76,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 77,	 reward_accu: 0, 	 action_length: 18,	 running times: 18
i_episode: 78,	 reward_accu: 0, 	 action_length: 18,	 running times: 18
i_episode: 79,	 reward_accu: 3, 	 action_length: 184,	 running times: 184
i_episode: 80,	 reward_accu: 3, 	 action_length: 70,	 running times: 70
i_episode: 81,	 reward_accu: 3, 	 action_length: 38,	 running times: 38
i_episode: 82,	 reward_accu: 0, 	 action_length: 4,	 running times: 4
i_episode: 83,	 reward_accu: 6, 	 action_length: 64,	 running times: 64
i_episode: 84,	 reward_accu: 1, 	 action_length: 16,	 running times: 16
i_episode: 85,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 86,	 reward_accu: 13, 	 action_length: 154,	 running times: 154
i_episode: 87,	 reward_accu: 3, 	 action_length: 34,	 running times: 34
i_episode: 88,	 reward_accu: 9, 	 action_length: 78,	 running times: 78
i_episode: 89,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 90,	 reward_accu: 1, 	 action_length: 18,	 running times: 18
i_episode: 91,	 reward_accu: 1, 	 action_length: 100,	 running times: 100
i_episode: 92,	 reward_accu: 4, 	 action_length: 208,	 running times: 208
i_episode: 93,	 reward_accu: 12, 	 action_length: 102,	 running times: 102
i_episode: 94,	 reward_accu: 4, 	 action_length: 36,	 running times: 36
i_episode: 95,	 reward_accu: 1, 	 action_length: 24,	 running times: 24
i_episode: 96,	 reward_accu: 27, 	 action_length: 198,	 running times: 198
i_episode: 97,	 reward_accu: 27, 	 action_length: 304,	 running times: 304
i_episode: 98,	 reward_accu: 27, 	 action_length: 204,	 running times: 204
i_episode: 99,	 reward_accu: 27, 	 action_length: 220,	 running times: 220
i_episode: 100,	 reward_accu: 27, 	 action_length: 224,	 running times: 224
i_episode: 101,	 reward_accu: 27, 	 action_length: 194,	 running times: 194
i_episode: 102,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 103,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 104,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 105,	 reward_accu: 27, 	 action_length: 180,	 running times: 180
i_episode: 106,	 reward_accu: 27, 	 action_length: 172,	 running times: 172
i_episode: 107,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
