i_episode: 0,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 1,	 reward_accu: -1, 	 action_length: 14,	 running times: 14
i_episode: 2,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 3,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 4,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 5,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 6,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 7,	 reward_accu: 0, 	 action_length: 29,	 running times: 29
i_episode: 8,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 9,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 10,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 11,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 12,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 13,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 14,	 reward_accu: 1, 	 action_length: 36,	 running times: 36
i_episode: 15,	 reward_accu: -1, 	 action_length: 53,	 running times: 53
i_episode: 16,	 reward_accu: 3, 	 action_length: 130,	 running times: 130
i_episode: 17,	 reward_accu: 0, 	 action_length: 64,	 running times: 64
i_episode: 18,	 reward_accu: 0, 	 action_length: 10,	 running times: 10
i_episode: 19,	 reward_accu: 1, 	 action_length: 143,	 running times: 143
i_episode: 20,	 reward_accu: 1, 	 action_length: 30,	 running times: 30
i_episode: 21,	 reward_accu: 3, 	 action_length: 50,	 running times: 50
i_episode: 22,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 23,	 reward_accu: 1, 	 action_length: 58,	 running times: 58
i_episode: 24,	 reward_accu: 1, 	 action_length: 70,	 running times: 70
i_episode: 25,	 reward_accu: 0, 	 action_length: 16,	 running times: 16
i_episode: 26,	 reward_accu: 1, 	 action_length: 110,	 running times: 110
i_episode: 27,	 reward_accu: 7, 	 action_length: 110,	 running times: 110
i_episode: 28,	 reward_accu: 24, 	 action_length: 649,	 running times: 649
i_episode: 29,	 reward_accu: 13, 	 action_length: 262,	 running times: 262
i_episode: 30,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 31,	 reward_accu: 75, 	 action_length: 774,	 running times: 774
i_episode: 32,	 reward_accu: 75, 	 action_length: 672,	 running times: 672
i_episode: 33,	 reward_accu: 75, 	 action_length: 832,	 running times: 832
i_episode: 34,	 reward_accu: 75, 	 action_length: 802,	 running times: 802
i_episode: 35,	 reward_accu: 57, 	 action_length: 548,	 running times: 548
i_episode: 36,	 reward_accu: 75, 	 action_length: 758,	 running times: 758
i_episode: 37,	 reward_accu: 75, 	 action_length: 736,	 running times: 736
i_episode: 38,	 reward_accu: 75, 	 action_length: 748,	 running times: 748
i_episode: 39,	 reward_accu: 75, 	 action_length: 734,	 running times: 734
i_episode: 40,	 reward_accu: 75, 	 action_length: 754,	 running times: 754
i_episode: 41,	 reward_accu: 75, 	 action_length: 750,	 running times: 750
i_episode: 42,	 reward_accu: 75, 	 action_length: 758,	 running times: 758
i_episode: 43,	 reward_accu: 75, 	 action_length: 698,	 running times: 698
i_episode: 44,	 reward_accu: 75, 	 action_length: 742,	 running times: 742
i_episode: 45,	 reward_accu: 75, 	 action_length: 762,	 running times: 762
i_episode: 46,	 reward_accu: 75, 	 action_length: 804,	 running times: 804
i_episode: 47,	 reward_accu: 75, 	 action_length: 730,	 running times: 730
i_episode: 48,	 reward_accu: 75, 	 action_length: 748,	 running times: 748
i_episode: 49,	 reward_accu: 75, 	 action_length: 716,	 running times: 716
i_episode: 50,	 reward_accu: 75, 	 action_length: 728,	 running times: 728
i_episode: 51,	 reward_accu: 75, 	 action_length: 698,	 running times: 698
i_episode: 52,	 reward_accu: 75, 	 action_length: 742,	 running times: 742
i_episode: 53,	 reward_accu: 75, 	 action_length: 792,	 running times: 792
i_episode: 54,	 reward_accu: 75, 	 action_length: 726,	 running times: 726
i_episode: 55,	 reward_accu: 75, 	 action_length: 776,	 running times: 776
i_episode: 56,	 reward_accu: 75, 	 action_length: 724,	 running times: 724
i_episode: 57,	 reward_accu: 75, 	 action_length: 740,	 running times: 740
i_episode: 58,	 reward_accu: 75, 	 action_length: 696,	 running times: 696
i_episode: 59,	 reward_accu: 75, 	 action_length: 726,	 running times: 726
i_episode: 60,	 reward_accu: 75, 	 action_length: 808,	 running times: 808
i_episode: 61,	 reward_accu: 75, 	 action_length: 700,	 running times: 700
i_episode: 62,	 reward_accu: 75, 	 action_length: 714,	 running times: 714
i_episode: 63,	 reward_accu: 75, 	 action_length: 738,	 running times: 738
i_episode: 64,	 reward_accu: 75, 	 action_length: 748,	 running times: 748
i_episode: 65,	 reward_accu: 75, 	 action_length: 726,	 running times: 726
i_episode: 66,	 reward_accu: 75, 	 action_length: 738,	 running times: 738
i_episode: 67,	 reward_accu: 75, 	 action_length: 694,	 running times: 694
i_episode: 68,	 reward_accu: 75, 	 action_length: 746,	 running times: 746
i_episode: 69,	 reward_accu: 75, 	 action_length: 726,	 running times: 726
i_episode: 70,	 reward_accu: 75, 	 action_length: 714,	 running times: 714
i_episode: 71,	 reward_accu: 75, 	 action_length: 804,	 running times: 804
i_episode: 72,	 reward_accu: 75, 	 action_length: 698,	 running times: 698
i_episode: 73,	 reward_accu: 75, 	 action_length: 732,	 running times: 732
i_episode: 74,	 reward_accu: 75, 	 action_length: 780,	 running times: 780
i_episode: 75,	 reward_accu: 75, 	 action_length: 776,	 running times: 776
i_episode: 76,	 reward_accu: 75, 	 action_length: 764,	 running times: 764
i_episode: 77,	 reward_accu: 75, 	 action_length: 754,	 running times: 754
i_episode: 78,	 reward_accu: 75, 	 action_length: 694,	 running times: 694
i_episode: 79,	 reward_accu: 75, 	 action_length: 756,	 running times: 756
i_episode: 80,	 reward_accu: 75, 	 action_length: 736,	 running times: 736
i_episode: 81,	 reward_accu: 75, 	 action_length: 798,	 running times: 798
i_episode: 82,	 reward_accu: 75, 	 action_length: 778,	 running times: 778
i_episode: 83,	 reward_accu: 75, 	 action_length: 740,	 running times: 740
i_episode: 84,	 reward_accu: 75, 	 action_length: 740,	 running times: 740
i_episode: 85,	 reward_accu: 75, 	 action_length: 736,	 running times: 736
i_episode: 86,	 reward_accu: 75, 	 action_length: 762,	 running times: 762
i_episode: 87,	 reward_accu: 75, 	 action_length: 788,	 running times: 788
i_episode: 88,	 reward_accu: 75, 	 action_length: 750,	 running times: 750
i_episode: 89,	 reward_accu: 75, 	 action_length: 752,	 running times: 752
i_episode: 90,	 reward_accu: 75, 	 action_length: 712,	 running times: 712
i_episode: 91,	 reward_accu: 75, 	 action_length: 696,	 running times: 696
i_episode: 92,	 reward_accu: 75, 	 action_length: 704,	 running times: 704
i_episode: 93,	 reward_accu: 75, 	 action_length: 730,	 running times: 730
i_episode: 94,	 reward_accu: 75, 	 action_length: 722,	 running times: 722
i_episode: 95,	 reward_accu: 75, 	 action_length: 750,	 running times: 750
i_episode: 96,	 reward_accu: 75, 	 action_length: 958,	 running times: 958
i_episode: 97,	 reward_accu: 75, 	 action_length: 736,	 running times: 736
i_episode: 98,	 reward_accu: 75, 	 action_length: 750,	 running times: 750
i_episode: 99,	 reward_accu: 75, 	 action_length: 808,	 running times: 808
i_episode: 100,	 reward_accu: 75, 	 action_length: 804,	 running times: 804
i_episode: 101,	 reward_accu: 75, 	 action_length: 734,	 running times: 734
i_episode: 102,	 reward_accu: 75, 	 action_length: 766,	 running times: 766
i_episode: 103,	 reward_accu: 75, 	 action_length: 790,	 running times: 790
i_episode: 104,	 reward_accu: 75, 	 action_length: 746,	 running times: 746
i_episode: 105,	 reward_accu: 75, 	 action_length: 734,	 running times: 734
i_episode: 106,	 reward_accu: 75, 	 action_length: 816,	 running times: 816
i_episode: 107,	 reward_accu: 75, 	 action_length: 834,	 running times: 834
i_episode: 108,	 reward_accu: 75, 	 action_length: 728,	 running times: 728
i_episode: 109,	 reward_accu: 75, 	 action_length: 840,	 running times: 840
i_episode: 110,	 reward_accu: 75, 	 action_length: 776,	 running times: 776
i_episode: 111,	 reward_accu: 75, 	 action_length: 746,	 running times: 746
i_episode: 112,	 reward_accu: 75, 	 action_length: 762,	 running times: 762
i_episode: 113,	 reward_accu: 75, 	 action_length: 770,	 running times: 770
i_episode: 114,	 reward_accu: 75, 	 action_length: 878,	 running times: 878
i_episode: 115,	 reward_accu: 75, 	 action_length: 770,	 running times: 770
i_episode: 116,	 reward_accu: 75, 	 action_length: 832,	 running times: 832
i_episode: 117,	 reward_accu: 75, 	 action_length: 816,	 running times: 816
i_episode: 118,	 reward_accu: 75, 	 action_length: 820,	 running times: 820
i_episode: 119,	 reward_accu: 75, 	 action_length: 706,	 running times: 706
i_episode: 120,	 reward_accu: 75, 	 action_length: 832,	 running times: 832
i_episode: 121,	 reward_accu: 75, 	 action_length: 738,	 running times: 738
i_episode: 122,	 reward_accu: 75, 	 action_length: 788,	 running times: 788
i_episode: 123,	 reward_accu: 75, 	 action_length: 776,	 running times: 776
i_episode: 124,	 reward_accu: 75, 	 action_length: 758,	 running times: 758
