i_episode: 86,	 reward_accu: 75, 	 action_length: 894,	 running times: 894
i_episode: 87,	 reward_accu: 75, 	 action_length: 896,	 running times: 896
i_episode: 88,	 reward_accu: 75, 	 action_length: 1044,	 running times: 1044
i_episode: 89,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 90,	 reward_accu: 75, 	 action_length: 922,	 running times: 922
i_episode: 91,	 reward_accu: 75, 	 action_length: 882,	 running times: 882
i_episode: 92,	 reward_accu: 75, 	 action_length: 936,	 running times: 936
i_episode: 93,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 94,	 reward_accu: 75, 	 action_length: 950,	 running times: 950
i_episode: 95,	 reward_accu: 75, 	 action_length: 826,	 running times: 826
i_episode: 96,	 reward_accu: 75, 	 action_length: 870,	 running times: 870
i_episode: 97,	 reward_accu: 75, 	 action_length: 920,	 running times: 920
i_episode: 98,	 reward_accu: 75, 	 action_length: 934,	 running times: 934
i_episode: 99,	 reward_accu: 75, 	 action_length: 860,	 running times: 860
i_episode: 100,	 reward_accu: 75, 	 action_length: 1058,	 running times: 1058
i_episode: 101,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 102,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 103,	 reward_accu: 75, 	 action_length: 886,	 running times: 886
i_episode: 104,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 105,	 reward_accu: 75, 	 action_length: 1000,	 running times: 1000
i_episode: 106,	 reward_accu: 75, 	 action_length: 1116,	 running times: 1116
i_episode: 107,	 reward_accu: 75, 	 action_length: 924,	 running times: 924
i_episode: 108,	 reward_accu: 75, 	 action_length: 882,	 running times: 882
i_episode: 109,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 110,	 reward_accu: 75, 	 action_length: 920,	 running times: 920
i_episode: 111,	 reward_accu: 75, 	 action_length: 902,	 running times: 902
i_episode: 112,	 reward_accu: 75, 	 action_length: 932,	 running times: 932
i_episode: 113,	 reward_accu: 75, 	 action_length: 886,	 running times: 886
i_episode: 114,	 reward_accu: 75, 	 action_length: 936,	 running times: 936
i_episode: 115,	 reward_accu: 75, 	 action_length: 946,	 running times: 946
i_episode: 116,	 reward_accu: 75, 	 action_length: 946,	 running times: 946
i_episode: 117,	 reward_accu: 75, 	 action_length: 954,	 running times: 954
i_episode: 118,	 reward_accu: 75, 	 action_length: 920,	 running times: 920
i_episode: 119,	 reward_accu: 75, 	 action_length: 1030,	 running times: 1030
i_episode: 120,	 reward_accu: 75, 	 action_length: 890,	 running times: 890
i_episode: 121,	 reward_accu: 75, 	 action_length: 964,	 running times: 964
i_episode: 122,	 reward_accu: 75, 	 action_length: 922,	 running times: 922
i_episode: 123,	 reward_accu: 75, 	 action_length: 972,	 running times: 972
i_episode: 124,	 reward_accu: 75, 	 action_length: 902,	 running times: 902
i_episode: 125,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 126,	 reward_accu: 75, 	 action_length: 916,	 running times: 916
i_episode: 127,	 reward_accu: 75, 	 action_length: 972,	 running times: 972
i_episode: 128,	 reward_accu: 75, 	 action_length: 910,	 running times: 910
i_episode: 129,	 reward_accu: 75, 	 action_length: 960,	 running times: 960
i_episode: 130,	 reward_accu: 75, 	 action_length: 878,	 running times: 878
i_episode: 131,	 reward_accu: 75, 	 action_length: 924,	 running times: 924
i_episode: 132,	 reward_accu: 75, 	 action_length: 986,	 running times: 986
i_episode: 133,	 reward_accu: 19, 	 action_length: 242,	 running times: 242
i_episode: 134,	 reward_accu: 75, 	 action_length: 870,	 running times: 870
i_episode: 135,	 reward_accu: 75, 	 action_length: 1028,	 running times: 1028
i_episode: 136,	 reward_accu: 75, 	 action_length: 852,	 running times: 852
i_episode: 137,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 138,	 reward_accu: 75, 	 action_length: 934,	 running times: 934
i_episode: 139,	 reward_accu: 27, 	 action_length: 284,	 running times: 284
i_episode: 140,	 reward_accu: 75, 	 action_length: 1150,	 running times: 1150
i_episode: 141,	 reward_accu: 75, 	 action_length: 1098,	 running times: 1098
i_episode: 142,	 reward_accu: 75, 	 action_length: 928,	 running times: 928
i_episode: 143,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 144,	 reward_accu: 75, 	 action_length: 1640,	 running times: 1640
i_episode: 145,	 reward_accu: 75, 	 action_length: 914,	 running times: 914
i_episode: 146,	 reward_accu: 75, 	 action_length: 986,	 running times: 986
i_episode: 147,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 148,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 149,	 reward_accu: 75, 	 action_length: 846,	 running times: 846
i_episode: 150,	 reward_accu: 75, 	 action_length: 1248,	 running times: 1248
i_episode: 151,	 reward_accu: 75, 	 action_length: 844,	 running times: 844
i_episode: 152,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 153,	 reward_accu: 75, 	 action_length: 846,	 running times: 846
i_episode: 154,	 reward_accu: 75, 	 action_length: 984,	 running times: 984
i_episode: 155,	 reward_accu: 75, 	 action_length: 876,	 running times: 876
i_episode: 156,	 reward_accu: 75, 	 action_length: 848,	 running times: 848
i_episode: 157,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 158,	 reward_accu: 75, 	 action_length: 1014,	 running times: 1014
i_episode: 159,	 reward_accu: 75, 	 action_length: 936,	 running times: 936
i_episode: 160,	 reward_accu: 75, 	 action_length: 876,	 running times: 876
i_episode: 161,	 reward_accu: 75, 	 action_length: 886,	 running times: 886
i_episode: 162,	 reward_accu: 75, 	 action_length: 964,	 running times: 964
i_episode: 163,	 reward_accu: 75, 	 action_length: 958,	 running times: 958
i_episode: 164,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 165,	 reward_accu: 75, 	 action_length: 864,	 running times: 864
i_episode: 166,	 reward_accu: 75, 	 action_length: 960,	 running times: 960
i_episode: 167,	 reward_accu: 75, 	 action_length: 964,	 running times: 964
i_episode: 168,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 169,	 reward_accu: 75, 	 action_length: 916,	 running times: 916
i_episode: 170,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 171,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 172,	 reward_accu: 55, 	 action_length: 642,	 running times: 642
i_episode: 173,	 reward_accu: 75, 	 action_length: 1016,	 running times: 1016
i_episode: 174,	 reward_accu: 75, 	 action_length: 910,	 running times: 910
i_episode: 175,	 reward_accu: 75, 	 action_length: 916,	 running times: 916
i_episode: 176,	 reward_accu: 75, 	 action_length: 936,	 running times: 936
i_episode: 177,	 reward_accu: 75, 	 action_length: 900,	 running times: 900
i_episode: 178,	 reward_accu: 75, 	 action_length: 1066,	 running times: 1066
i_episode: 179,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 180,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 181,	 reward_accu: 75, 	 action_length: 1202,	 running times: 1202
i_episode: 182,	 reward_accu: 75, 	 action_length: 892,	 running times: 892
i_episode: 183,	 reward_accu: 75, 	 action_length: 836,	 running times: 836
i_episode: 184,	 reward_accu: 75, 	 action_length: 882,	 running times: 882
i_episode: 185,	 reward_accu: 75, 	 action_length: 870,	 running times: 870
i_episode: 186,	 reward_accu: 75, 	 action_length: 1166,	 running times: 1166
i_episode: 187,	 reward_accu: 75, 	 action_length: 890,	 running times: 890
i_episode: 188,	 reward_accu: 75, 	 action_length: 862,	 running times: 862
i_episode: 189,	 reward_accu: 75, 	 action_length: 900,	 running times: 900
i_episode: 190,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 191,	 reward_accu: 75, 	 action_length: 912,	 running times: 912
i_episode: 192,	 reward_accu: 75, 	 action_length: 984,	 running times: 984
i_episode: 193,	 reward_accu: 75, 	 action_length: 914,	 running times: 914
i_episode: 194,	 reward_accu: 75, 	 action_length: 876,	 running times: 876
i_episode: 195,	 reward_accu: 75, 	 action_length: 950,	 running times: 950
i_episode: 196,	 reward_accu: 75, 	 action_length: 932,	 running times: 932
i_episode: 197,	 reward_accu: 75, 	 action_length: 894,	 running times: 894
i_episode: 198,	 reward_accu: 75, 	 action_length: 1046,	 running times: 1046
i_episode: 199,	 reward_accu: 75, 	 action_length: 1248,	 running times: 1248
i_episode: 200,	 reward_accu: 75, 	 action_length: 940,	 running times: 940
i_episode: 201,	 reward_accu: 75, 	 action_length: 878,	 running times: 878
i_episode: 202,	 reward_accu: 75, 	 action_length: 926,	 running times: 926
i_episode: 203,	 reward_accu: 75, 	 action_length: 874,	 running times: 874
i_episode: 204,	 reward_accu: 75, 	 action_length: 890,	 running times: 890
i_episode: 205,	 reward_accu: 75, 	 action_length: 966,	 running times: 966
i_episode: 206,	 reward_accu: 75, 	 action_length: 956,	 running times: 956
i_episode: 207,	 reward_accu: 75, 	 action_length: 898,	 running times: 898
i_episode: 208,	 reward_accu: 75, 	 action_length: 936,	 running times: 936
i_episode: 209,	 reward_accu: 75, 	 action_length: 820,	 running times: 820
i_episode: 210,	 reward_accu: 75, 	 action_length: 892,	 running times: 892
i_episode: 211,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 212,	 reward_accu: 75, 	 action_length: 940,	 running times: 940
i_episode: 213,	 reward_accu: 75, 	 action_length: 852,	 running times: 852
i_episode: 214,	 reward_accu: 75, 	 action_length: 838,	 running times: 838
i_episode: 215,	 reward_accu: 75, 	 action_length: 1088,	 running times: 1088
i_episode: 216,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 217,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 218,	 reward_accu: 75, 	 action_length: 904,	 running times: 904
i_episode: 219,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 220,	 reward_accu: 75, 	 action_length: 808,	 running times: 808
i_episode: 221,	 reward_accu: 75, 	 action_length: 938,	 running times: 938
i_episode: 222,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 223,	 reward_accu: 75, 	 action_length: 1022,	 running times: 1022
i_episode: 224,	 reward_accu: 75, 	 action_length: 994,	 running times: 994
i_episode: 225,	 reward_accu: 75, 	 action_length: 1022,	 running times: 1022
i_episode: 226,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 227,	 reward_accu: 75, 	 action_length: 998,	 running times: 998
i_episode: 228,	 reward_accu: 75, 	 action_length: 962,	 running times: 962
i_episode: 229,	 reward_accu: 75, 	 action_length: 866,	 running times: 866
i_episode: 230,	 reward_accu: 75, 	 action_length: 900,	 running times: 900
i_episode: 231,	 reward_accu: 75, 	 action_length: 988,	 running times: 988
i_episode: 232,	 reward_accu: 75, 	 action_length: 848,	 running times: 848
i_episode: 233,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 234,	 reward_accu: 75, 	 action_length: 866,	 running times: 866
i_episode: 235,	 reward_accu: 75, 	 action_length: 864,	 running times: 864
i_episode: 236,	 reward_accu: 75, 	 action_length: 874,	 running times: 874
i_episode: 237,	 reward_accu: 75, 	 action_length: 1108,	 running times: 1108
