i_episode: 86,	 reward_accu: 72, 	 action_length: 648,	 running times: 648
i_episode: 87,	 reward_accu: 72, 	 action_length: 664,	 running times: 664
i_episode: 88,	 reward_accu: 72, 	 action_length: 657,	 running times: 657
i_episode: 89,	 reward_accu: 72, 	 action_length: 643,	 running times: 643
i_episode: 90,	 reward_accu: 72, 	 action_length: 684,	 running times: 684
i_episode: 91,	 reward_accu: 72, 	 action_length: 681,	 running times: 681
i_episode: 92,	 reward_accu: 72, 	 action_length: 688,	 running times: 688
i_episode: 93,	 reward_accu: 72, 	 action_length: 685,	 running times: 685
i_episode: 94,	 reward_accu: 72, 	 action_length: 705,	 running times: 705
i_episode: 95,	 reward_accu: 72, 	 action_length: 651,	 running times: 651
i_episode: 96,	 reward_accu: 72, 	 action_length: 659,	 running times: 659
i_episode: 97,	 reward_accu: 72, 	 action_length: 688,	 running times: 688
i_episode: 98,	 reward_accu: 72, 	 action_length: 682,	 running times: 682
i_episode: 99,	 reward_accu: 72, 	 action_length: 666,	 running times: 666
i_episode: 100,	 reward_accu: 72, 	 action_length: 707,	 running times: 707
i_episode: 101,	 reward_accu: 72, 	 action_length: 688,	 running times: 688
i_episode: 102,	 reward_accu: 72, 	 action_length: 643,	 running times: 643
i_episode: 103,	 reward_accu: 72, 	 action_length: 671,	 running times: 671
i_episode: 104,	 reward_accu: 72, 	 action_length: 660,	 running times: 660
i_episode: 105,	 reward_accu: 72, 	 action_length: 646,	 running times: 646
i_episode: 106,	 reward_accu: 72, 	 action_length: 663,	 running times: 663
i_episode: 107,	 reward_accu: 72, 	 action_length: 700,	 running times: 700
i_episode: 108,	 reward_accu: 72, 	 action_length: 660,	 running times: 660
i_episode: 109,	 reward_accu: 72, 	 action_length: 679,	 running times: 679
i_episode: 110,	 reward_accu: 72, 	 action_length: 645,	 running times: 645
i_episode: 111,	 reward_accu: 72, 	 action_length: 661,	 running times: 661
i_episode: 112,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 113,	 reward_accu: 72, 	 action_length: 649,	 running times: 649
i_episode: 114,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 115,	 reward_accu: 72, 	 action_length: 685,	 running times: 685
i_episode: 116,	 reward_accu: 72, 	 action_length: 676,	 running times: 676
i_episode: 117,	 reward_accu: 72, 	 action_length: 709,	 running times: 709
i_episode: 118,	 reward_accu: 72, 	 action_length: 677,	 running times: 677
i_episode: 119,	 reward_accu: 72, 	 action_length: 652,	 running times: 652
i_episode: 120,	 reward_accu: 72, 	 action_length: 675,	 running times: 675
