i_episode: 27,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 28,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 29,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 30,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 31,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 32,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 33,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 34,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 35,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 36,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 37,	 reward_accu: -1, 	 action_length: 5,	 running times: 5
i_episode: 38,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 39,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 40,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 41,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 42,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 43,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 44,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 45,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 46,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 47,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 48,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 49,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 50,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 51,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 52,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 53,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 54,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 55,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 56,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 57,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 58,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 59,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 60,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 61,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 62,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 63,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 64,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 65,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 66,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 67,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 68,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 69,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 70,	 reward_accu: 0, 	 action_length: 16,	 running times: 16
i_episode: 71,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 72,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 73,	 reward_accu: 0, 	 action_length: 4,	 running times: 4
i_episode: 74,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 75,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 76,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 77,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 78,	 reward_accu: -1, 	 action_length: 44,	 running times: 44
i_episode: 79,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 80,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 81,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 82,	 reward_accu: 0, 	 action_length: 13,	 running times: 13
i_episode: 83,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 84,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 85,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 86,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 87,	 reward_accu: -1, 	 action_length: 29,	 running times: 29
i_episode: 88,	 reward_accu: -1, 	 action_length: 43,	 running times: 43
i_episode: 89,	 reward_accu: -1, 	 action_length: 28,	 running times: 28
i_episode: 90,	 reward_accu: -1, 	 action_length: 52,	 running times: 52
i_episode: 91,	 reward_accu: 0, 	 action_length: 518,	 running times: 518
i_episode: 92,	 reward_accu: 3, 	 action_length: 107,	 running times: 107
i_episode: 93,	 reward_accu: 1, 	 action_length: 102,	 running times: 102
i_episode: 94,	 reward_accu: 3, 	 action_length: 72,	 running times: 72
i_episode: 95,	 reward_accu: 1, 	 action_length: 86,	 running times: 86
i_episode: 96,	 reward_accu: 1, 	 action_length: 33,	 running times: 33
i_episode: 97,	 reward_accu: 0, 	 action_length: 4,	 running times: 4
i_episode: 98,	 reward_accu: 3, 	 action_length: 60,	 running times: 60
i_episode: 99,	 reward_accu: 4, 	 action_length: 126,	 running times: 126
i_episode: 100,	 reward_accu: 12, 	 action_length: 122,	 running times: 122
i_episode: 101,	 reward_accu: 36, 	 action_length: 504,	 running times: 504
i_episode: 102,	 reward_accu: 48, 	 action_length: 476,	 running times: 476
i_episode: 103,	 reward_accu: 48, 	 action_length: 412,	 running times: 412
i_episode: 104,	 reward_accu: 48, 	 action_length: 454,	 running times: 454
i_episode: 105,	 reward_accu: 48, 	 action_length: 412,	 running times: 412
i_episode: 106,	 reward_accu: 48, 	 action_length: 424,	 running times: 424
i_episode: 107,	 reward_accu: 48, 	 action_length: 420,	 running times: 420
i_episode: 108,	 reward_accu: 48, 	 action_length: 400,	 running times: 400
